CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,LAT,LONG
50010426,The Ship,MANHATTAN,158,LAFAYETTE ST,10013,2122198496,American,5/19/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,,40.7198443,-73.99947
41279788,POD CAFE,MANHATTAN,230,EAST 51 STREET,10022,2123550300,CafÃ©/Coffee/Tea,1/7/2016,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,38,,40.7557468,-73.9691818
41336125,GRAND 1 BAKERY,MANHATTAN,295,GRAND STREET,10002,2123346968,Bakery,3/23/2015,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,9,A,40.7173963,-73.992079
41695128,COFFEE & CRUMBS,MANHATTAN,330,WEST 38TH STREET,10018,2122390333,American,12/26/2013,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,40.7552824,-73.9934861
40530791,TAP-A-KEG,MANHATTAN,2731,BROADWAY,10025,2127491734,American,5/12/2014,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,16,,40.8003351,-73.9684518
41618840,TORTARIA,MANHATTAN,94,UNIVERSITY PLACE,10003,2127761830,Mexican,2/11/2014,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,31,,40.7338793,-73.9930429
41104863,GYM SPORTS BAR,MANHATTAN,167,8 AVENUE,10011,2123372439,American,8/11/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.7426384,-74.0008205
41161346,LE BASKET,MANHATTAN,683,BROADWAY,10012,2124209772,American,10/17/2013,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,35,,40.7280233,-73.9948354
41589254,POTBELLY SANDWICH WORKS,MANHATTAN,150,EAST   44 STREET,10017,6462894202,American,3/4/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,9,,40.7521442,-73.9742299
50000902,99 CENTS MEGA PIZZA,MANHATTAN,1875,LEXINGTON AVE,10035,2123690369,American,9/10/2013,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,7,,40.7989046,-73.9411311
41143605,BOBBY VAN'S STEAKHOUSE,MANHATTAN,25,BROAD STREET,10004,2123448463,Steak,2/24/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28,,40.7060887,-74.0111372
41721903,ARMONIE,MANHATTAN,1649,PARK AVENUE,10035,2127226400,Italian,12/21/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,,40.7997213,-73.9426179
40663950,FOOD FOR THOUGHT CATERED EVENTS,MANHATTAN,130,WEST   25 STREET,10001,2129294689,American,4/13/2015,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,18,,40.7445645,-73.9932573
50044055,LA CARIDAD 78,MANHATTAN,2199,BROADWAY,10024,2128742780,Chinese/Cuban,2/29/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,40.7831776,-73.9807992
50000598,UNCLE TED'S,MANHATTAN,163,BLEECKER STREET,10012,2127771395,Chinese,4/22/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,B,40.7288146,-73.9999367
40677036,LE ZIE TRATTORIA,MANHATTAN,172,7 AVENUE,10011,2122068686,Italian,6/24/2013,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,33,,40.742509,-73.9970966
41453428,SPOT,MANHATTAN,13,ST MARKS PLACE,10003,2126775670,Bakery,7/20/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.7293891,-73.9889219
40391531,TEA AND SYMPATHY,MANHATTAN,108,GREENWICH AVENUE,10011,2129899735,English,8/20/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,A,40.7382881,-74.00194
40588166,BITS BITE & BAGUETTES,MANHATTAN,22,PARK PLACE,10007,2123741111,Sandwiches/Salads/Mixed Buffet,11/15/2013,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,17,,40.7127305,-74.0085653
40936973,RANDOM HOUSE,MANHATTAN,1745,BROADWAY,10019,2125474455,American,2/17/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,40.7652098,-73.9825022
41718746,FEAST,MANHATTAN,102,3 AVENUE,10003,2125298880,American,4/29/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,,40.7325388,-73.9880578
40902021,BEACH STREET EATERY,MANHATTAN,57,BEACH STREET,10013,7184404636,American,10/21/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,60,C,40.7208391,-74.0095909
41477315,MEL'S BURGER BAR,MANHATTAN,2850,BROADWAY,10025,2128657100,Hamburgers,3/16/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,22,,40.8044401,-73.9660226
41194024,HUMMUS PLACE,MANHATTAN,305,AMSTERDAM AVENUE,10023,2127993335,Middle Eastern,8/31/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,40.7800722,-73.9803034
50053623,DAK BAKERY,MANHATTAN,90,BOWERY,10013,2126800138,Bakery,9/8/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,B,40.717511,-73.995666
50042275,HERBS THAI BISTRO,MANHATTAN,251,EAST   45 STREET,10017,2128089388,Thai,3/30/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,40.7519409,-73.9709759
40551234,THE GIN MILL,MANHATTAN,442,AMSTERDAM AVENUE,10024,2125809080,American,4/12/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,40.7847532,-73.9775376
50005190,Flinders Lane,MANHATTAN,162,AVENUE A,10009,2122286900,Australian,4/30/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,16,,40.7280565,-73.9818726
41445748,GRAND CAFE (Metropolitan Hospital),MANHATTAN,1901,2 AVENUE,10029,2124237519,American,6/26/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,8,A,40.7858612,-73.9459654
40644352,SOLAS,MANHATTAN,232,EAST    9 STREET,10003,2123751320,American,4/20/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,19,,40.7293501,-73.988119
50010711,212 STEAKHOUSE,MANHATTAN,316,E 53RD ST,10022,2128580646,Steak,8/22/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,40.7562711,-73.9665386
41369572,MOUSTACHE,MANHATTAN,1621,LEXINGTON AVENUE,10029,2128280030,Middle Eastern,1/9/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32,,40.7897348,-73.9478684
41225222,DISHES,MANHATTAN,399,PARK AVENUE,10022,2124215511,American,2/3/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,40.7588892,-73.9713866
40660138,NOBU NEXT DOOR,MANHATTAN,105,HUDSON STREET,10013,2123349869,Japanese,5/14/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,19,,40.7195264,-74.0089934
41701557,STUDIO 9C,MANHATTAN,30,ROCKEFLLER PLAZA,10112,2126644454,American,3/15/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,40.759168,-73.9796557
41020436,GROUNDED,MANHATTAN,28,JANE STREET,10014,2126470943,CafÃ©/Coffee/Tea,2/22/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,40.737976,-74.00343
40825908,POLANCO RESTAURANT BBQ,MANHATTAN,2421,ADAM CLAYTON POWELL JR B,10030,2128621090,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/20/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,40.8191934,-73.9405196
50008533,BUTTER BEANS (UNICEF),MANHATTAN,322,E 44TH ST,10017,7182084050,American,12/17/2014,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,20,,40.7506414,-73.9701265
40850087,MADAME TUSSAUD'S,MANHATTAN,234,WEST   42 STREET,10036,2125129600,Hotdogs,5/19/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,40.7563592,-73.9888728
41720230,MILLER'S NEAR & FAR,MANHATTAN,65,RIVINGTON STREET,10002,6465591210,American,9/3/2013,No violations were recorded at the time of this inspection.,,,Not Applicable,,,40.7205047,-73.9901076
41264529,DELIGHT 28 RESTAURANT,MANHATTAN,2830,PELL STREET,10013,2122858686,Chinese,9/25/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,26,,40.7148199,-73.9980331
41416221,EL RANCHITO DEL AGAVE,MANHATTAN,476,9 AVENUE,10018,2129041198,Mexican,4/1/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,20,B,40.7549013,-73.9948592
50000112,YASHA RAMAN,MANHATTAN,940,AMSTERDAM AVE,10025,2122222995,Japanese,4/25/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,40.8008867,-73.9658083
40835721,IRVING FARM,MANHATTAN,71,IRVING PLACE,10003,2129955252,American,9/27/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,40.7368,-73.9869656
41682994,YUE LAI BAKERY,MANHATTAN,137,EAST BROADWAY,10002,9172572263,Chinese,2/20/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,32,,40.7137157,-73.9915322
40913296,STARBUCKS,MANHATTAN,295,MADISON AVENUE,10017,2129229078,CafÃ©/Coffee/Tea,4/22/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,40.7516776,-73.9795471
40365942,HOP KEE RESTAURANT,MANHATTAN,21,MOTT STREET,10013,2129648365,Chinese,7/28/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,27,B,40.7143954,-73.9990337
41651838,BEER AUTHORITY,MANHATTAN,300,WEST   40 STREET,10018,2125108415,American,2/29/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,,40.7559338,-73.9911822
41648237,GONZALEZ Y GONZALEZ,MANHATTAN,192,MERCER STREET,10012,2124737878,Mexican,3/29/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,,40.7262028,-73.9970382
40816772,CITY CHOW CAFE V (EQUINOX),MANHATTAN,420,LEXINGTON AVENUE,10170,2126874006,CafÃ©/Coffee/Tea,1/4/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,40.7526842,-73.9759022
40400185,CAFE BEYOND,MANHATTAN,620,6 AVENUE,10011,2126209752,American,9/1/2016,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,47,,40.7397483,-73.9939222
41392227,VIZIO,MANHATTAN,255,WEST   55 STREET,10019,2125860756,American,10/4/2014,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,40.765396,-73.98326
40835721,IRVING FARM,MANHATTAN,71,IRVING PLACE,10003,2129955252,American,3/28/2014,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,17,,40.7368,-73.9869656
41339471,INDIAN ROAD CAFE,MANHATTAN,600,WEST  218 STREET,10034,9172702950,American,6/5/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,,40.8728492,-73.9183464
41543275,KARAOKE NEMO / TRECE,MANHATTAN,54,EAST   13 STREET,10003,2124775577,Mexican,7/31/2013,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,49,,40.7341002,-73.9917595
40997838,CAFE METRO,MANHATTAN,14,EAST   42 STREET,10017,2126973700,American,3/16/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,,40.7530391,-73.9804345
41010271,MINCA RAMEN FACTORY,MANHATTAN,536,EAST    5 STREET,10009,2125058001,Japanese,5/17/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,24,,40.723998,-73.982949
41454611,"T.G.I. FRIDAY'S,  TIM HORTONS",MANHATTAN,34,UNION SQUARE EAST,10003,6465566381,American,4/9/2014,Violations were cited in the following area(s).,02A,Food not cooked to required minimum temperature.,Critical,43,C,40.7357311,-73.9891678
50039426,AA JAPANESE RAMEN,MANHATTAN,45,BAYARD ST,10013,2122338700,Japanese,6/13/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,,40.7150822,-73.9973421
40999185,GAETANA'S CUCINA ITALIANA,MANHATTAN,143,CHRISTOPHER STREET,10014,2126753913,Italian,9/20/2016,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45,,40.7329613,-74.0077958
50018105,ADELLA,MANHATTAN,410,W 43RD ST,10036,2122730737,American,4/22/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,40.7593177,-73.9930095
40369940,THE NEW AMITY RESTAURANT,MANHATTAN,1134,MADISON AVENUE,10028,2128613255,American,6/10/2015,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,7,A,40.7798381,-73.9598324
41290556,STARBUCKS,MANHATTAN,1185,AVENUE OF THE AMERICAS,10036,2127307646,CafÃ©/Coffee/Tea,2/11/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,40.7578756,-73.9824244
50008107,FANTASTIC RESTAURANT & LOUNGE,MANHATTAN,238A,SHERMAN AVE,10034,2129423010,Spanish,4/2/2014,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,7,,40.8663138,-73.9196803
41670534,Iron Sushi,MANHATTAN,355,EAST   78 STREET,10075,2127727680,Japanese,11/12/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,,40.7719575,-73.9535485
41085232,ALEXANDRA,MANHATTAN,455,HUDSON STREET,10014,2122553838,American,1/11/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,40.731408,-74.006992
41289750,NORTH SQUARE,MANHATTAN,103,WAVERLY PLACE,10011,2122541200,American,7/9/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,40.7325032,-73.9986893
41630826,LAND OF PLENTY,MANHATTAN,204,EAST   58 STREET,10022,2123088788,Chinese,6/1/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,40.7605665,-73.9666882
50000858,NOURISH KITCHEN + TABLE,MANHATTAN,95,GREENWICH AVENUE,10014,2122426115,American,10/3/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,40.737374,-74.0019886
41025331,GUY & GALLARD 8,MANHATTAN,180,MADISON AVENUE,10016,2127252303,American,6/9/2014,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,38,,40.7476446,-73.9834426
41079528,LASAGNA RESTAURANT,MANHATTAN,196,8 AVENUE,10011,2122424551,Italian,3/19/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,40.7432349,-73.9996782
50057392,VINTNER WINE MARKET (BEERS & CHEESE),MANHATTAN,677,9TH AVE,10036,2129577500,Sandwiches,11/30/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,18,Not Yet Graded,40.7614456,-73.990679
41449886,AUNTIE ANNE'S PRETZELS,MANHATTAN,2,PENN STATION,10001,2127601749,Bagels/Pretzels,9/4/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,,40.750568,-73.993519
50055985,MARCHE MADISON,MANHATTAN,630,1ST AVE,10016,2127790110,American,11/9/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,Not Yet Graded,40.7451742,-73.9717613
50009148,DENNY'S,MANHATTAN,150,NASSAU ST,10038,2125665500,American,9/13/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,33,,40.711401,-74.0058907
41125878,O'HANLON'S BAR,MANHATTAN,349,EAST 14 STREET,10003,2125337333,Irish,3/30/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,,40.7316885,-73.9828826
40372466,MURALS ON 54/RANDOLPHS'S,MANHATTAN,65,WEST   54 STREET,10019,2122477000,American,8/22/2014,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11,A,40.7624022,-73.9782725
40968428,MR. DENNEHY'S,MANHATTAN,63,CARMINE STREET,10014,2124141223,American,7/22/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,,40.7298854,-74.0045879
50017223,FAIRFIELD INN & SUITES NEW YORK MANHATTAN FINANCIAL DISTRICT,MANHATTAN,161,FRONT ST,10038,2128260001,Continental,11/24/2015,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,6,A,40.7058519,-74.0047912
40369940,THE NEW AMITY RESTAURANT,MANHATTAN,1134,MADISON AVENUE,10028,2128613255,American,8/20/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,40.7798381,-73.9598324
41466258,BROTHER JIMMY'S BBQ,MANHATTAN,116,EAST   16 STREET,10003,2126736465,Barbecue,10/21/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,29,,40.7353276,-73.9884724
40994221,MANGIA,MANHATTAN,22,WEST   23 STREET,10010,2126470287,Italian,3/11/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,19,,40.7417216,-73.9906717
40399285,BANGKOK GRAND PALACE,MANHATTAN,882,FIRST AVENUE,10022,2129808834,Thai,12/2/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,,40.7536346,-73.966044
41606848,BAOHAUS,MANHATTAN,238,EAST   14 STREET,10003,6466698889,Asian,12/11/2013,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,66,,40.7324051,-73.985763
41156951,VALBELLA N.Y.,MANHATTAN,421,WEST   13 STREET,10014,2126457777,Italian,2/9/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,C,40.7409764,-74.0069627
40392388,TAL BAGEL,MANHATTAN,333,EAST   86 STREET,10028,2124276811,Bagels/Pretzels,4/26/2013,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,40.7775434,-73.9503938
41401458,MOFONGO DEL VALLE,MANHATTAN,3340,BROADWAY,10031,2122818360,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/7/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,40.8201377,-73.9547117
41474509,SHAKE SHACK,MANHATTAN,152,EAST   86 STREET,10028,6462375036,American,4/27/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,40.7792063,-73.954883
50000587,CHIPOTLE MEXICAN GRILL,MANHATTAN,2298,BROADWAY,10024,6464126237,Tex-Mex,10/31/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,18,,40.786191,-73.977863
40515597,ANYWAY CAFE,MANHATTAN,34,EAST    2 STREET,10003,2125333412,Russian,2/13/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16,,40.7250182,-73.9905752
41619055,SONS OF ESSEX,MANHATTAN,133,ESSEX STREET,10002,2126747100,American,12/8/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,47,,40.7202394,-73.9876489
50039202,10 BELOW ICE CREAM,MANHATTAN,10,MOTT ST,10013,3478795161,"Ice Cream, Gelato, Yogurt, Ices",5/24/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,40.7140524,-73.9985851
41492701,FIVE GUYS FAMOUS BURGERS AND FRIES,MANHATTAN,36,WEST   48 STREET,10036,2129971270,Hamburgers,4/5/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,,40.7578295,-73.9799243
